name,Market,Value,Size,Momentum,Quality,Pengana Private Equity Trust,Franklin Global Growth A,Aoris International Fund B,Zurich Investments Concentrated Glbl Gr,Lazard Global Equity Franchise,Ironbark Royal London ConcentratedGlbShr,Nanuk New World,Apis Global Long/Short W,Fidelity Asia,Talaria Global Equity,global pws,qsml,qus,qual,plato,vgs,vlue,dimensional
apir_ticker,Market,Value,Size,Momentum,Quality,Pengana Private Equity Trust,Franklin Global Growth A,Aoris International Fund B,Zurich Investments Concentrated Glbl Gr,Lazard Global Equity Franchise,Ironbark Royal London ConcentratedGlbShr,Nanuk New World,Apis Global Long/Short W,Fidelity Asia,Talaria Global Equity,global pws,qsml,qus,qual,plato,vgs,vlue,dimensional
30/06/2014,0.002903541,0.002119189,0.022125972,-0.005435544,-0.012717092,,0.004831344,,,-0.001168656,-0.008968656,,0.016131344,-0.001068656,-0.010068656,,0.016334115,0.0156,-0.0016,,0.004364515,0.006406297,0.0061
31/07/2014,-0.004361168,0.000194835,-0.026875975,0.015693002,0.013442154,,-0.006968656,,,0.008831344,-0.013068656,,-0.005468656,0.038531344,0.006131344,,-0.024442504,-0.0095,0.0024,,-0.002457296,0.002850999,-0.0003
29/08/2014,0.015580614,-0.010161748,0.00914343,0.002010096,0.000596034,,0.016031344,,,0.010431344,0.014831344,,0.012531344,0.010131344,0.007631344,,0.02812954,0.0377,0.0289,,0.016312059,-0.000370984,0.0069
30/09/2014,0.038238557,-0.003314458,-0.03454338,0.080198828,0.070253621,,0.017431344,,,0.036331344,0.014431344,,-0.002768656,0.019731344,0.029831344,,0.02332766,0.0419,0.048,,0.042966779,0.03518508,0.0284
31/10/2014,-0.001839674,-0.010141123,0.011200995,0.005125497,0.007196605,,0.018931344,,,0.010631344,-0.010068656,,0.000831344,0.001731344,-0.006268656,,0.031135826,0.0238,0.0132,,0.000537472,-0.013497695,-0.0172
28/11/2014,0.052599225,-0.016711886,-0.016607897,0.042099418,0.039476555,,0.048131344,,,0.064431344,0.060231344,,0.010231344,0.040131344,0.028531344,,0.054616634,0.0609,0.0581,,0.053235705,0.052384181,0.0391
31/12/2014,0.023389353,0.001499808,0.024536012,0.057961135,0.050974624,,0.034631344,,,0.033031344,0.016431344,,0.003331344,0.015031344,0.026331344,,0.051798022,0.0453,0.0259,,0.026348374,0.026794206,0.0265
30/01/2015,0.030529981,-0.021726705,0.001647169,0.085589462,0.063631057,,0.026131344,,,0.030431344,0.032431344,,0.008031344,0.074131344,0.012631344,,0.038211599,0.0218,0.0377,,0.031798239,0.027824213,0.0183
27/02/2015,0.050955665,-0.008237895,0.003073993,-0.023466436,-0.014665512,,0.052831344,,,0.046831344,0.054431344,,0.006631344,0.009531344,0.038731344,,0.062976354,0.0513,0.0474,,0.052664066,0.06581918,0.0651
31/03/2015,0.007655037,-0.011914189,0.019461636,0.042136999,0.032656891,,-0.009868656,,,0.005731344,-0.004868656,,0.012531344,0.028431344,0.004331344,,0.02237727,0.0158,0.0048,,0.008850503,0.007937969,0.0049
30/04/2015,-0.014161528,0.014879436,-0.008467308,-0.061337224,-0.054864883,,0.006831344,,,-0.011168656,0.018631344,,-0.006768656,-0.000568656,0.014831344,,-0.033178292,-0.0316,-0.0195,,-0.008392639,-0.002506522,0.0054
