Fund,APIR Code,const,Domestic Credit,Domestic Duration,Domestic FRN,Currency,Classification,Classification #2,Tracking Error,Number of Months with Data,Fund
Yarra Higher Income Fund,JBW4379AU,0.3994228263321023,3.365322723267493,-0.373461241901057,3.3069586865616785,-0.1519194969234757,Domestic Credit,Domestic FRN,0.042898798509097454,70,Yarra Higher Income Fund
Schroder Absolute Return Income Fund -IC,SCH3568AU,2.327596259837784,4.343404022117219,5.407132073847674,5.387295925795612,1.2428621560752786,Domestic Duration,Domestic FRN,0.025772830059236654,68,Schroder Absolute Return Income Fund -IC
Alexander Credit Income Fund,ETL285AU,4.0327043187513505,1.9554148913797504,-0.8617356006109154,3.776691015568436,0.43288772658060326,Domestic FRN,nan,0.03353995212038858,68,Alexander Credit Income Fund
Realm High Income mFund Units,OMF1394AU,5.055966581484311,3.696267056707462,5.550969907901185,-0.14905007004613294,3.4852966891066806,Domestic Duration,Domestic Credit,0.026391798297500452,66,Realm High Income mFund Units
PM Capital Enhanced Yield B,PMC47AU,3.369822858223884,2.310120251936336,2.3978214394963135,7.515222166884285,4.445454257749932,Domestic FRN,nan,0.02722763697621646,87,PM Capital Enhanced Yield B
Perpetual ESG Credit Income,PER1744AU,1.640813761163733,2.928950223451803,0.6842384992511107,6.6449875561479095,3.8665860642471603,Domestic FRN,Domestic Credit,0.03362530185155298,74,Perpetual ESG Credit Income
Realm Short Term Income mFunds,OMF816AU,6.2304597134607835,2.9873999305161867,0.4942724696951477,0.05210730381066011,-0.6517196443557414,Domestic Credit,nan,0.031310800943933646,52,Realm Short Term Income mFunds
Realm Short Term Income Ordinary,OMF3725AU,11.21380091106267,5.119245089011304,0.7536741118120359,-1.3471504373557548,-0.20672129500841996,Domestic Credit,nan,0.027598088564015612,80,Realm Short Term Income Ordinary
State Street Floating Rate Fund,SST4725AU,6.034539650598081,5.86032036357418,2.617936570821062,6.603533045825989,-0.8123008239832481,Domestic FRN,Domestic Credit,0.02563779346330739,82,State Street Floating Rate Fund
Macquarie Corporate Bond Fund Class G,AMP775AU,2.502472464257342,7.784960983951033,4.460109713295796,7.575320124866397,1.1998813246936098,Domestic Credit,Domestic FRN,0.025594327337882986,79,Macquarie Corporate Bond Fund Class G
Artesian Corporate Bond Fund,ETL364AU,2.5434445649544366,8.226575575976314,6.4129381196877375,5.43921741196119,2.426065721084018,Domestic Credit,Domestic Duration,0.024043269618283222,90,Artesian Corporate Bond Fund
Artesian Corporate Bond Fund A,ETL8268AU,2.2236657331091654,8.087633449466418,6.428428723928889,5.506747769658143,2.386962890642897,Domestic Credit,Domestic Duration,0.02399905057549376,90,Artesian Corporate Bond Fund A
