Fund,APIR Code,const,Domestic Credit,Domestic Duration,Domestic FRN,Currency,Classification,Classification #2,Tracking Error,Number of Months with Data,Fund
PM Capital Enhanced Yield B,PMC47AU,-0.9111423622004844,0.8593375864475596,1.9366262577476079,8.852460732401603,4.854399581621564,Domestic FRN,nan,0.02722763697621646,87,PM Capital Enhanced Yield B
Perpetual ESG Credit Income,PER1744AU,-1.1198599978276034,1.9611639833853296,0.27570494339992174,7.572177824349857,4.178624597780791,Domestic FRN,nan,0.03362530185155298,74,Perpetual ESG Credit Income
Realm Short Term Income mFunds,OMF816AU,4.067939403778989,2.099548122788463,-0.8194586048142393,1.4383378414152974,-0.2552598728919469,Alpha,nan,0.031310800943933646,52,Realm Short Term Income mFunds
Realm Short Term Income Ordinary,OMF3725AU,8.147291539378909,4.598924535848641,-0.34259972468277683,-0.11615882049782661,0.03561443253845585,Domestic Credit,nan,0.027598088564015612,80,Realm Short Term Income Ordinary
State Street Floating Rate Fund,SST4725AU,-4.827051978257824,6.182895003334348,3.1076157554509183,18.074869841806038,-1.1891870715824662,Domestic FRN,Domestic Credit,0.02563779346330739,82,State Street Floating Rate Fund
Macquarie Corporate Bond Fund Class G,AMP775AU,-3.971612350291764,5.418466626503008,3.529652767294392,8.978063760256715,1.4577265078970456,Domestic FRN,Domestic Credit,0.025594327337882986,79,Macquarie Corporate Bond Fund Class G
Artesian Corporate Bond Fund,ETL364AU,-2.216377892498398,6.841107242406371,6.020077945269675,6.56083482951638,2.6418225729484863,Domestic Credit,Domestic FRN,0.024043269618283222,90,Artesian Corporate Bond Fund
Artesian Corporate Bond Fund A,ETL8268AU,-2.5362397642514,6.705727592915573,6.04175636872074,6.632454645747894,2.6024068510191256,Domestic Credit,Domestic FRN,0.02399905057549376,90,Artesian Corporate Bond Fund A
Realm High Income Fund Adviser Class,OMF18AU,2.871047772257596,3.3139461712241416,5.225916127780358,0.6828115555684366,3.6892540516333923,Domestic Duration,Domestic Credit,0.02452923777906782,95,Realm High Income Fund Adviser Class
Macquarie Corporate Bond Fund Class E,AMP237AU,-9.990987775867055,5.841128415489323,3.6032451080804275,9.616812973486146,1.7195264772240773,Domestic FRN,Domestic Credit,0.023261569690875897,109,Macquarie Corporate Bond Fund Class E
