,,coef,coef,coef,coef,coef,coef,tstats,tstats,tstats,tstats,tstats,tstats
,,const,Market,Value,Size,Momentum,Quality,const,Market,Value,Size,Momentum,Quality
apir_ticker,,,,,,,,,,,,,
ETL8772AU,Paradice Australian Mid Cap Fund B,-0.0001,1.001,-0.0188,0.4646,0.1335,0.066,-0.0861,30.1995,-0.4166,8.2795,3.5947,0.857
ETL0739AU,Paradice Australian Small Cap Fund B,0.0024,0.9338,0.1343,0.5314,0.0784,-0.0349,0.9003,13.1939,1.3941,4.4345,0.9885,-0.2124
INT0023AU,Morningstar Australian Shares Fund B,-0.0005,0.9334,0.0657,0.2705,-0.0118,0.1595,-0.5535,41.7465,2.1133,7.1024,-0.5806,2.8982
ETL8084AU,Paradice Australian Equities Fund,0.0011,0.9824,0.0897,0.0169,0.103,-0.0967,0.7766,27.1823,1.8113,0.2733,2.4697,-1.114
INT0002AU,Morningstar Australian Shares Fund Z,-0.0004,0.9051,0.0587,0.3579,-0.0666,0.1793,-0.3272,25.4842,1.2084,5.9887,-1.652,2.1579
WFS8168AU,Tyndall Wholesale Plus Aus Shr Inc Fd,-0.0002,0.9115,0.1292,0.0371,-0.0674,-0.1975,-0.161,26.0113,2.6589,0.6145,-1.653,-2.3128
WFS8908AU,Spheria Wholesale Plus Aus Smllr Coms Fd,0.0019,0.9095,0.0811,0.6884,-0.1668,0.0265,0.8146,14.6352,0.9444,6.4617,-2.309,0.1765
BFL3779AU,Bennelong Emerging Companies Fund,0.0108,1.0754,-0.1139,1.0839,-0.0782,-0.3758,2.309,8.7727,-0.6734,5.1568,-0.5492,-1.2693
CIP0005AU,CI Australian Equities Fund,0.0031,0.8909,-0.0667,-0.0023,0.0373,0.035,4.2984,46.6581,-2.8277,-0.0807,2.2216,0.7607
HOW1289AU,Lennox Australian Microcap Fund,0.0049,0.8547,-0.0777,0.8932,-0.083,-0.2635,1.0651,7.114,-0.4684,4.3364,-0.5945,-0.9083
PVA0013AU,Prime Value Emerging Opportunities Fund,0.0039,0.6905,0.0356,0.6679,0.0922,-0.1041,1.8326,11.5581,0.4221,6.4916,1.3987,-0.7216
WHT3810AU,Firetrail Australian High Conviction,-0.0008,0.913,0.0697,0.2103,-0.1544,-0.0291,-0.4696,19.9419,1.1163,2.6977,-2.9167,-0.2667
ETL6826AU,NorthStar Impact Australian Equities fd,0.0002,0.9555,0.0309,0.3186,-0.1633,-0.0362,0.0721,10.6901,0.2545,2.0975,-1.6201,-0.1735
AAP3940AU,Ausbil Active Sustainable Equity,0.002,1.0287,-0.1476,0.214,0.0765,-0.2073,1.6353,32.0609,-3.3322,3.8896,2.0512,-2.6756
AAP9227AU,Ausbil Australian Concentrated Equity,0.0017,1.0466,0.0236,0.0473,0.0779,-0.104,1.6869,39.8238,0.6506,1.0502,2.5518,-1.6382
MIC5676AU,Microequities Pure Microcap Value,0.0035,0.9864,0.0428,0.6115,-0.1592,-0.0654,0.8369,9.0672,0.286,3.262,-1.261,-0.2488
MGE9705AU,Airlie Australian Share,0.0025,0.9656,-0.059,0.0889,-0.0094,0.0172,2.1251,31.6488,-1.3981,1.7115,-0.2676,0.2375
OMF8185AU,Saville Capital Emerging Companies,0.0032,0.8374,0.0722,1.4674,0.0659,-0.2624,0.4868,4.7468,0.2998,4.8873,0.3317,-0.6302
WRA7701AU,Warakirri Ethical Australian Equities,-0.0006,0.9932,-0.0836,-0.0613,-0.1048,-0.0258,-0.6023,37.4759,-2.3355,-1.3825,-3.5021,-0.4167
EQB7664AU,Equitable Investors Dragonfly,-0.0094,0.6181,0.3898,0.7083,0.0579,-0.2829,-1.5853,3.9329,1.802,2.618,0.3188,-0.7434
SEL0461AU,Selector High Conviction Equity A,0.0033,0.9864,-0.0535,0.5241,0.0263,0.2495,1.93,21.9168,-0.9521,7.4975,0.6583,2.2948
WFS5839AU,Fidelity Australian Opportunities MPS,-0.0005,0.9432,-0.0163,0.1705,-0.0073,0.0212,-0.6023,40.5394,-0.5113,4.2973,-0.2765,0.3962
WFS2157AU,Realindex Australian Shares MPS,0.0009,0.9731,0.1337,-0.0731,-0.0183,-0.0153,1.4175,60.225,6.0351,-2.6535,-0.9957,-0.4109
WFS4487AU,Solaris Core Australian Equity MPS,-0.0005,1.0049,-0.0526,-0.0066,0.0078,-0.098,-0.6327,54.2287,-2.0692,-0.2104,0.37,-2.3027
DFA2068AU,Dimensional Australian Sustainability,0.0014,1.0454,-0.0094,0.2394,-0.0127,0.0473,1.4602,42.6754,-0.2771,5.6439,-0.4618,0.8505
SCH0100AU,Schroder Australian Equity Pool - IC,0.0039,0.9213,0.0867,-0.0245,-0.0595,-0.1088,6.8027,60.5994,4.6171,-1.0647,-4.4537,-2.9721
AAP3656AU,Ausbil Active Dividend Income - Wholsl,0.0003,0.9563,0.0624,0.0013,0.0635,0.0104,0.4121,45.1967,2.1273,0.0354,2.6377,0.2097
ECL0012AU,Ellerston Overlay Australian Share,0.0001,0.7543,0.0164,0.2782,-0.092,-0.0564,0.0317,13.4585,0.2059,2.7984,-1.7869,-0.4051
PIM4357AU,DNR Capital Australian Emerging Coms,0.0054,0.9624,0.25,1.0023,0.0062,0.1863,1.5202,10.5714,1.9752,6.3599,0.0597,0.8696
PIM9091AU,Microequities Value Income,0.0054,0.8394,0.1935,0.6945,0.0207,-0.2219,1.7238,10.4637,1.7403,4.9901,0.2288,-1.2193
CLA1557AU,Clime Smaller Companies,0.0009,0.9955,0.0232,0.6305,0.0552,-0.0971,0.3042,11.8663,0.2036,4.4355,0.5822,-0.4952
SSB0044AU,Martin Currie Equity Income X,-0.0006,0.8835,0.0995,0.1441,0.0633,-0.0821,-0.5677,34.517,2.6659,3.1696,2.6622,-1.2754
CIP0002AU,CI Brunswick,0.0048,0.7419,-0.0082,0.1583,0.0488,-0.0038,4.9607,29.134,-0.2599,4.0799,2.1762,-0.0619
ETL7541AU,Elston Australian Large Companies A,0.0019,0.8604,0.067,0.1793,-0.0535,-0.5024,0.9678,17.1664,0.9601,2.0419,-0.9546,-4.4755
AFX0240AU,Affluence Small Company Ordinary,0.0039,0.4606,0.1523,0.4835,-0.041,-0.1776,2.5248,10.7175,2.5748,6.6224,-0.8376,-1.7456
WPC5600AU,Perennial Better Future Trust,0.0016,0.9032,-0.1517,0.4077,-0.1258,-0.1903,0.7311,16.0789,-1.957,4.2385,-1.9122,-1.4044
MAQ7203AU,Macquarie Australian Emerging Companies,0.0031,1.0096,0.1197,1.0035,-0.034,-0.0778,1.0916,12.6617,1.1092,7.5258,-0.378,-0.4194
