,GREIT,GREIT_HEDGED,INFRA,INFRA_HEDGED,AREIT,RFRATE
31/12/2018,-0.017734727,-0.067749854,0.004173616,-0.028272146,0.017109406,0.001522343
31/01/2019,0.069929147,0.101347635,0.05329071,0.075055808,0.061659292,0.001803045
28/02/2019,0.025196964,0.002312214,0.048486541,0.028733602,0.018167525,0.00173009
29/03/2019,0.036650793,0.034464781,0.025024175,0.030149966,0.062231018,0.001653873
30/04/2019,-0.005019739,-0.005757918,0.018758803,0.014819696,-0.025590287,0.001636823
31/05/2019,0.015793137,0.00148931,0.003129015,-0.010487327,0.024756033,0.001509572
28/06/2019,0.001369042,0.003977532,0.042745166,0.041004822,0.042440795,0.001324375
31/07/2019,0.025057091,0.013031917,-0.001186944,-0.010625181,0.025683341,0.00119823
30/08/2019,0.040914454,0.027419703,0.026886812,0.01049153,0.011809974,0.000835895
30/09/2019,0.023793464,0.028342528,0.018561711,0.022971872,-0.027277021,0.000845517
31/10/2019,0.003542052,0.017215435,-0.005314092,0.003816856,0.012423896,0.000807386
29/11/2019,0.006440339,-0.009961849,0.010481441,-0.002938827,0.02307032,0.000822113
31/12/2019,-0.029787085,-0.003998344,0.004798747,0.027906617,-0.044040213,0.000721953
31/01/2020,0.057719959,0.014465952,0.065819824,0.027763813,0.063584175,0.000815497
28/02/2020,-0.051302427,-0.081985949,-0.066518341,-0.090485175,-0.048567879,0.000753946
31/03/2020,-0.178478408,-0.23214979,-0.18056654,-0.230632292,-0.351075709,0.000993448
30/04/2020,0.000630479,0.057410679,0.023430822,0.079236184,0.137377675,0.00047471
29/05/2020,-0.015673425,0.005545327,0.034826525,0.047399921,0.069683416,8.90348E-05
30/06/2020,-0.006839813,0.021725585,-0.048158256,-0.020835802,-0.013825484,7.49929E-05
31/07/2020,-0.012368405,0.021044298,-0.006822495,0.007404799,0.006449488,9.08702E-05
31/08/2020,-0.006528662,0.014412725,-0.016950645,0.005384447,0.078914934,9.29392E-05
30/09/2020,0.000581832,-0.02450626,-0.000293434,-0.018356816,-0.014941394,7.16699E-05
30/10/2020,-0.011760488,-0.034170024,0.010594281,-0.007476495,-0.003720357,0.00011136
30/11/2020,0.080115813,0.110494724,0.077224183,0.105258698,0.132487929,7.02276E-05
31/12/2020,-0.009225679,0.030022411,-0.015192947,0.014385441,0.004296082,2.565E-05
29/01/2021,-0.001723228,-0.004936165,-0.014519829,-0.018958967,-0.04061607,1.23602E-05
26/02/2021,0.024441134,0.033221919,-0.002599172,0.00481512,-0.026421097,-4.55976E-06
31/03/2021,0.048576042,0.038754125,0.058517122,0.055777391,0.065598702,2.02679E-05
30/04/2021,0.051144239,0.066085997,0.022820703,0.023330792,0.029164337,2.88946E-05
31/05/2021,0.015923194,0.012766602,0.001418966,-0.002911488,0.016961861,3.93576E-05
30/06/2021,0.040310595,0.018557309,0.014415847,-0.00217454,0.055682118,2.61468E-05
30/07/2021,0.06135391,0.047341383,0.030842922,0.012191574,0.002831576,2.99317E-05
31/08/2021,0.018230675,0.015069758,0.022723388,0.020894221,0.062597986,1.52558E-05
30/09/2021,-0.045971841,-0.059245954,0.000118456,-0.006335978,-0.021775139,5.50123E-06
29/10/2021,0.016639094,0.061479774,-0.004997652,0.026869268,0.004159683,-1.05823E-05
30/11/2021,0.042553,-0.009739636,0.001150681,-0.037477947,0.045134175,5.54682E-05
31/12/2021,0.03510204,0.063511101,0.040618418,0.056870706,0.049068499,3.62854E-05
31/01/2022,-0.028952265,-0.060736561,0.020146952,-0.001393038,-0.095183818,5.02106E-05
28/02/2022,-0.0528863,-0.029347881,-0.001741256,0.018809464,0.01463885,5.0883E-05
31/03/2022,0.010409182,0.050170531,0.024567821,0.054593618,0.012414594,3.38146E-05
29/04/2022,0.004499541,-0.045372245,0.023594712,-0.01054661,0.005743209,-0.000159749
31/05/2022,-0.05489379,-0.050228001,0.022108183,0.029291717,-0.087252857,0.000348551
30/06/2022,-0.048354372,-0.08508402,-0.040562275,-0.066405506,-0.102839001,0.000502503
29/07/2022,0.06718555,0.08125135,0.030246271,0.04256958,0.119254185,0.001227143
31/08/2022,-0.048022997,-0.059629499,0.002370876,-0.006160499,-0.035450635,0.001547813
30/09/2022,-0.065267775,-0.123906323,-0.059291604,-0.105581301,-0.13597833,0.001458813
31/10/2022,0.036701999,0.032307653,0.056039072,0.047731698,0.099086482,0.002424585
30/11/2022,0.019112189,0.049360877,0.030051927,0.058862502,0.057731176,0.002491075
30/12/2022,-0.040039258,-0.038895979,-0.037462954,-0.03408634,-0.040596131,0.002496584
31/01/2023,0.051260221,0.08564223,0.016079591,0.038377826,0.081220931,0.002658347
28/02/2023,-0.001832353,-0.040673077,0.008977983,-0.022060524,-0.001799363,0.002401906
31/03/2023,-0.022973156,-0.039766699,0.032145088,0.016660486,-0.067835788,0.002839437
28/04/2023,0.030705189,0.016968718,0.038860257,0.024295075,0.052955744,0.003044969
31/05/2023,-0.023041961,-0.038949271,-0.033151857,-0.047269395,-0.017477526,0.002948077
30/06/2023,0.003138166,0.029938359,-0.001152234,0.017723559,-5.64E-05,0.00301022
31/07/2023,0.026973063,0.03168158,0.011898005,0.013334524,0.038311058,0.00373297
31/08/2023,0.005467969,-0.029077118,-0.009201403,-0.037369054,0.022654779,0.003653523
29/09/2023,-0.054953306,-0.059429049,-0.042282879,-0.041417247,-0.085867881,0.003373869
31/10/2023,-0.030895106,-0.045453833,-0.0144652,-0.025739196,-0.058291847,0.003347433
30/11/2023,0.059665411,0.093846457,0.05296521,0.07488955,0.10997233,0.003499405
