,con,modcon,bal,gro,hg
31/05/2021,0.013566787,0.015745904,0.019705034,0.020218067,0.022110874
30/06/2021,0.012727455,0.013006829,0.01465669,0.01281449,0.013008642
31/07/2021,0.010609933,0.013158026,0.01606332,0.01687445,0.019385466
31/08/2021,0.004558527,0.006599559,0.008943408,0.010697716,0.011517054
30/09/2021,0.009846802,0.011580634,0.014158574,0.014390288,0.016248215
31/10/2021,-0.010648742,-0.013987642,-0.017726308,-0.019691957,-0.021361426
30/11/2021,-0.003455138,-0.001624101,-0.000301631,0.001540523,0.004754014
31/12/2021,0.002087602,0.005710983,0.007320151,0.010260316,0.011247397
31/01/2022,0.01318547,0.01465719,0.018223364,0.017533737,0.017567641
28/02/2022,-0.013781797,-0.013020876,-0.015610791,-0.013459484,-0.013078047
31/03/2022,-0.003333819,-0.010731521,-0.013816572,-0.020203135,-0.0238876
30/04/2022,0.008957226,0.002149964,0.002416587,-0.005147303,-0.00704838
31/05/2022,-0.006226686,-0.008886597,-0.010690479,-0.012602056,-0.014518323
30/06/2022,-0.004698737,-0.003438044,-0.00372626,-0.002631332,-0.001099425
31/07/2022,-0.033269857,-0.031841734,-0.036187821,-0.030619386,-0.031733688
31/08/2022,0.019478463,0.020756901,0.024897117,0.024337161,0.025347347
30/09/2022,-0.004484307,-0.010067313,-0.013492493,-0.018006041,-0.020175985
31/10/2022,-0.028997954,-0.032616534,-0.040088864,-0.039168871,-0.039985374
30/11/2022,0.023676909,0.024163854,0.029039904,0.026598886,0.029546651
31/12/2022,0.037132493,0.040034643,0.046245254,0.042603049,0.041895747
31/01/2023,-0.014666253,-0.018458891,-0.023560654,-0.024716437,-0.026375379
28/02/2023,0.027831421,0.029280232,0.033498634,0.031869856,0.031061697
31/03/2023,-0.007682049,-0.007069367,-0.008263814,-0.006255034,-0.005505724
30/04/2023,0.009380214,0.012875257,0.015127149,0.016645762,0.018028839
31/05/2023,0.008157841,0.008736385,0.010071125,0.010081639,0.0117672
30/06/2023,-0.006557266,-0.004632031,-0.004851808,-0.00153733,0.000215813
31/07/2023,0.014709551,0.015226692,0.016580078,0.014821619,0.015590477
31/08/2023,0.016716233,0.017912097,0.020415497,0.019625786,0.020490985
